quest|answer|point|grade|match_code|notice|math|physics|chemistry|biology|literature|history|geography|english|other|calculating|video
"Sự kiện nào được tổ chức năm 1284 tại kinh thành Thăng Long đã đặt nền móng cho tinh thần dân chủ của nhà nước trước khi ban hành những quyết sách lớn?"|"Hội nghị Diên Hồng"|twenty|10|1|||||||1|||||
"Gương cầu lõm cho ảnh lớn hơn vật. Vậy tại sao người ta không lắp gương cầu lõm làm gương chiếu hậu ở xe ô tô hay xe máy?"|"Phạm vi quan sát nhỏ, chỉ quan sát được các vật gần gương"|twenty|9|1|||1|||||||||
"Hãy giải bài toán cổ sau: ""Có 5292 lạng bạc phát cho 328 người, chia làm ba hạng: hạng Giáp 8 người, mỗi người được 7 phần; hạng Ất 20 người, mỗi người 5 phần; hạng Bính 300 người, mỗi người 2 phần. Hỏi như thế thì mỗi người ở mỗi hạng được lĩnh bao nhiêu lạng bạc?"|"49, 35, 14"|twenty|13|1||1|||||||||1|
"Năm nội dung chính trong thông điệp ""5K"" của Bộ Y Tế - khuyến cáo toàn dân thực hiện để giữ an toàn trước đại dịch COVID-19 là khẩu trang, khử khuẩn, khoảng cách, không tụ tập và hoạt động nào nữa?"|"Khai báo y tế"|thirty|13|1||||||||||1||
"At the Brussel International Film Festival in 2019, a Vietnamese film was awarded the top prize in the new ... category. It was about homeless kids on the street and the hard .... The story was a boy selling lottery tickets and shining shoes. What was the film called?"|Ròm|thirty|13|1|||||||||1|||1
"Tại sao người ta thường dùng hợp chất CrO3 cho dụng cụ kiểm tra nồng độ cồn của lái xe?"|"Etylic khử CrO3 thành Cr2O3 có màu xanh đặc trưng"|thirty|12|1||||1||||||||
"Theo dự báo đưa ra vào tháng 10/2020 của Quỹ Tiền tệ Quốc tế (IMF), bốn Quốc gia nào có quy mô GDP năm 2020 lớn nhất Đông Nam Á?"|"Indonesia, Thái Lan, Việt Nam, Philippines"|thirty|13|1|"Cập nhật thời sự"|||||||||1||
"What does SIM in SIM card stand for?"|"Subscriber Identity Module"|thirty|13|1|||||||||1|||1
"Lần đầu tiên trong lịch sử kháng chiến chống Pháp của dân tộc ta, cách diệt xe tăng bằng lựu đạn đã được người chiến sĩ nào sáng tạo và lập chiến công lớn?"|"Cù Chính Lan"|thirty|13|1|||||||1|||||
"Phần lớn các thiết bị điện tử di động trên thế giới đều sử dụng loại nguồn điện nào?"|"Pin lithi-ion"|twenty|13|1|||1|||||||||
"40 years ago, a man made a historic journey into space. The journey lasted 7 days 20 hours and 42 minutes in total. He orbit the Earth 142 times and conducted many space experiment. Some of them were the experiment on .... Who is he?"|"Pham Tuan"|twenty|13|1|||||||||1|||1
"Những kí hiệu nổi bên cạnh các nút bấm trong thang máy có tác dụng gì?"|"Giúp đỡ người khiếm thị"|ten|13|1||||||||||1||
